Game,Ruleset,GameRuleset,Top Agent,Top Score
Wouri,,Wouri-,UCT,69.0
Yovodi,,Yovodi-,UCT,74.0
Yovodji,,Yovodji-,MAST,71.0
Amazons,,Amazons-,UCT,68.0
Bamboo,,Bamboo-,MC-GRAVE,95.0
Blue Nile,,Blue_Nile-,MAST,72.0
Cram,,Cram-,MAST,82.0
Do Guti,,Do_Guti-,MAST,61.5
Domineering,,Domineering-,AlphaBeta,60.0
Dorvon Cag,,Dorvon_Cag-,UCT,59.0
French Military Game,Ruleset/Gardner (Described),French_Military_Game-Gardner,AlphaBeta,63.0
French Military Game,Ruleset/Default (Described),French_Military_Game-Default,AlphaBeta,86.0
Gala (Buginese),,Gala_Buginese-,AlphaBeta,100.0
Gala,,Gala-,MC-GRAVE,57.5
Gopher,,Gopher-,AlphaBeta,92.0
Gurvan Xudag,,Gurvan_Xudag-,ProgressiveHistory,72.5
Haretavl,,Haretavl-,AlphaBeta,71.0
Hex Amazons,,Hex_Amazons-,MC-GRAVE,70.0
Ho-Bag Gonu,,Ho-Bag_Gonu-,UCT,60.0
Hyvn aetter Hare,,Hyvn_aetter_Hare-,AlphaBeta,75.0
Isolation,,Isolation-,MC-GRAVE,79.0
Janes Soppi,,Janes_Soppi-,UCT,54.5
L Game,,L_Game-,AlphaBeta,100.0
La Liebre Perseguida,,La_Liebre_Perseguida-,AlphaBeta,55.0
Madelinette,,Madelinette-,ProgressiveHistory,65.5
Mu Torere,Ruleset/Simple (Suggested),Mu_Torere-Simple,MC-GRAVE,56.0
Mu Torere,Ruleset/Complete (Observed),Mu_Torere-Complete,AlphaBeta,68.5
NoGo,,NoGo-,MC-GRAVE,90.0
Oumoul Kono,,Oumoul_Kono-,MAST,60.5
Pathway,,Pathway-,MAST,78.0
Pong Hau K'i,,Pong_Hau_Ki-,AlphaBeta,60.0
Quantum Leap,,Quantum_Leap-,MC-GRAVE,85.0
Snowpaque,,Snowpaque-,MAST,76.0
Spots,,Spots-,MC-GRAVE,69.0
Susan,,Susan-,MC-GRAVE,82.0
T'uk T'uk,Ruleset/T'uk T'uk (Observed),Tuk_Tuk-,AlphaBeta,50.0
Temeen Tavag,Ruleset/Temeen Tavag (Observed),Temeen_Tavag-Temeen_Tavag,ProgressiveHistory,61.0
Temeen Tavag,Ruleset/Dorvon Bux (Observed),Temeen_Tavag-Dorvon_Bux,UCT,61.0
Tron,,Tron-,UCT,83.0
Tugul Shodra,,Tugul_Shodra-,AlphaBeta,60.5
Abak,,Abak-,AlphaBeta,98.5
Chameleon,,Chameleon-,MC-GRAVE,100.0
Coil,,Coil-,MC-GRAVE,93.0
Cross,,Cross-,MAST,83.0
Crossway,,Crossway-,MC-GRAVE,100.0
DuploHex,,DuploHex-,MC-GRAVE,89.0
Esa Hex,,Esa_Hex-,MC-GRAVE,99.0
Gale,,Gale-,MC-GRAVE,98.0
Gonnect,,Gonnect-,MC-GRAVE,100.0
Havannah,,Havannah-,MC-GRAVE,96.0
Hex,,Hex-,MC-GRAVE,100.0
Master Y,,Master_Y-,MC-GRAVE,99.0
Pippinzip (Zipline variant),,Pippinzip_Zipline_variant-,MC-GRAVE,85.0
Pippinzip,,Pippinzip-,MC-GRAVE,100.0
Tabu Y,,Tabu_Y-,MC-GRAVE,100.0
Three-Player Hex,,Three-Player_Hex-,MC-GRAVE,72.46863799283155
Trax,,Trax-,AlphaBeta,94.0
Unlur,,Unlur-,MAST,88.0
Y (Hex),,Y_Hex-,MC-GRAVE,100.0
Y,,Y-,MC-GRAVE,96.0
Feed the Ducks,,Feed_the_Ducks-,AlphaBeta,99.5
Groups,,Groups-,AlphaBeta,99.0
Lines of Action,,Lines_of_Action-,AlphaBeta,100.0
Manalath,,Manalath-,AlphaBeta,80.0
Odd,,Odd-,MC-GRAVE,99.0
Omega,,Omega-,UCT,85.0
Omny,,Omny-,ProgressiveHistory,90.0
3D Tic-Tac-Toe,,3D_Tic-Tac-Toe-,MC-GRAVE,60.0
Achi,Ruleset/Murray (Described),Achi-Murray,AlphaBeta,80.5
Achi,Ruleset/Wikipedia (Suggested),Achi-Wikipedia,UCT,68.0
Agilidade,,Agilidade-,ProgressiveHistory,63.0
Akidada,,Akidada-,ProgressiveHistory,78.0
All Queens Chess,,All_Queens_Chess-,AlphaBeta,100.0
Alquerque de Tres,,Alquerque_de_Tres-,ProgressiveHistory,59.5
Altan Xaraacaj,,Altan_Xaraacaj-,AlphaBeta,68.0
Andantino,,Andantino-,MC-GRAVE,73.5
Bolotudu,,Bolotudu-,UCT,74.0
Bravalath,,Bravalath-,AlphaBeta,93.0
